UnitID,Institution Name,First-time degree/certificate-seeking undergraduate enrollment (DRVEF2023),First-time degree/certificate-seeking undergraduate enrollment (DRVEF2022_RV),First-time degree/certificate-seeking undergraduate enrollment (DRVEF2021_RV),First-time degree/certificate-seeking undergraduate enrollment (DRVEF2020_RV),First-time degree/certificate-seeking undergraduate enrollment (DRVEF2019_RV),
126182,Adams State University,320,306,318,348,399,
133872,AdventHealth University,97,76,74,99,64,
138716,Albany State University,1532,1383,1046,1443,1427,
219790,Bryan College-Dayton,194,218,232,216,195,
156365,Campbellsville University,684,682,681,689,664,
445267,Central Methodist University-College of Graduate and Extended Studies,218,5,4,4,3,
153144,Coe College,359,363,397,392,379,
476975,Colorado State University Global,299,91,99,85,141,
480569,Florida Institute of Technology-Online,32,40,49,53,34,
212656,Geneva College,262,276,245,275,314,
145336,Governors State University,274,316,194,211,232,
225575,Huston-Tillotson University,177,186,150,169,204,
135081,Keiser University-Ft Lauderdale,1958,1813,2129,2304,2026,
232672,Mary Baldwin University,299,260,315,358,389,
200226,Mayville State University,90,107,199,142,109,
119605,National University,82,74,38,18,24,
201964,Ohio Christian University,183,143,149,140,224,
227331,Our Lady of the Lake University,290,296,254,295,330,
214777,Pennsylvania State University-Main Campus,9040,9230,,,15989,
498571,Pennsylvania Western University,1617,2035,,,,
140960,Savannah State University,732,588,794,745,812,
221661,Southern Adventist University,758,628,571,493,512,
195173,St. Francis College,507,495,409,748,616,
221838,Tennessee State University,1770,3568,1637,1703,1268,
483036,Texas A&M University-Central Texas,24,33,33,37,24,
161563,Thomas College,194,234,206,245,215,
196653,Trocaire College,65,52,58,95,88,
102614,University of Alaska Fairbanks,770,685,678,668,686,
108092,University of Arkansas-Fort Smith,886,832,813,883,934,
262086,University of Massachusetts Global,376,216,85,101,60,
206613,Wright State University-Lake Campus,252,271,266,281,279,
